open_time,open,high,low,close,volume,amount,close_time
1682870400000,29655.1900000000000000000000000000,29870.0000000000000000000000000000,29655.1900000000000000000000000000,29821.0200000000000000000000000000,55.72617000,1658295.790000000000000000,1682870700000
1682870700000,29821.0200000000000000000000000000,29841.0200000000000000000000000000,29770.0100000000000000000000000000,29789.4100000000000000000000000000,76.06186100,2265966.690000000000000000,1682871000000
1682871000000,29789.4100000000000000000000000000,29815.1000000000000000000000000000,29711.8600000000000000000000000000,29731.4000000000000000000000000000,55.60988600,1656247.000000000000000000,1682871300000
1682871300000,29731.4000000000000000000000000000,29813.9800000000000000000000000000,29731.4000000000000000000000000000,29768.5900000000000000000000000000,51.29650400,1527596.380000000000000000,1682871600000
1682871600000,29768.5900000000000000000000000000,29800.0000000000000000000000000000,29727.8000000000000000000000000000,29733.3000000000000000000000000000,54.70744300,1628534.500000000000000000,1682871900000
1682871900000,29733.3000000000000000000000000000,29749.9500000000000000000000000000,29630.9800000000000000000000000000,29638.9600000000000000000000000000,65.18603700,1936169.400000000000000000,1682872200000
1682872200000,29638.9600000000000000000000000000,29685.0200000000000000000000000000,29625.2200000000000000000000000000,29670.8300000000000000000000000000,68.02497100,2017757.280000000000000000,1682872500000
1682872500000,29670.8300000000000000000000000000,29734.0300000000000000000000000000,29669.3400000000000000000000000000,29699.8400000000000000000000000000,58.52967300,1737728.330000000000000000,1682872800000
1682872800000,29699.8400000000000000000000000000,29707.4300000000000000000000000000,29673.8300000000000000000000000000,29690.9400000000000000000000000000,69.51110700,2063997.740000000000000000,1682873100000
1682873100000,29690.9400000000000000000000000000,29758.9200000000000000000000000000,29690.9400000000000000000000000000,29751.0000000000000000000000000000,53.27184800,1583488.400000000000000000,1682873400000
1682873400000,29751.0000000000000000000000000000,29770.5200000000000000000000000000,29729.2500000000000000000000000000,29729.2500000000000000000000000000,44.13057300,1312680.980000000000000000,1682873700000
1682873700000,29729.2500000000000000000000000000,29743.9100000000000000000000000000,29717.5400000000000000000000000000,29717.5400000000000000000000000000,47.61497400,1415929.880000000000000000,1682874000000
1682874000000,29717.5400000000000000000000000000,29763.3700000000000000000000000000,29717.5400000000000000000000000000,29750.3000000000000000000000000000,89.46170900,2661688.530000000000000000,1682874300000
1682874300000,29750.3000000000000000000000000000,29750.3000000000000000000000000000,29671.1500000000000000000000000000,29672.3300000000000000000000000000,86.43655400,2567093.390000000000000000,1682874600000
1682874600000,29672.3300000000000000000000000000,29715.2300000000000000000000000000,29672.3300000000000000000000000000,29715.2300000000000000000000000000,58.47682900,1736911.750000000000000000,1682874900000
1682874900000,29715.2300000000000000000000000000,29779.5500000000000000000000000000,29710.0600000000000000000000000000,29759.7500000000000000000000000000,57.32580200,1705542.740000000000000000,1682875200000
1682875200000,29759.7500000000000000000000000000,29790.7200000000000000000000000000,29759.7400000000000000000000000000,29771.9600000000000000000000000000,81.67216900,2431967.760000000000000000,1682875500000
1682875500000,29772.0700000000000000000000000000,29781.1600000000000000000000000000,29737.9600000000000000000000000000,29773.9600000000000000000000000000,56.31712300,1676631.650000000000000000,1682875800000
1682875800000,29773.9600000000000000000000000000,29825.4000000000000000000000000000,29751.0000000000000000000000000000,29805.9900000000000000000000000000,44.80456700,1334368.230000000000000000,1682876100000
1682876100000,29805.9900000000000000000000000000,29806.2000000000000000000000000000,29770.0200000000000000000000000000,29772.8800000000000000000000000000,66.25868000,1973345.380000000000000000,1682876400000
1682876400000,29772.8800000000000000000000000000,29775.6200000000000000000000000000,29750.0000000000000000000000000000,29765.3100000000000000000000000000,61.42527500,1828448.660000000000000000,1682876700000
1682876700000,29765.3100000000000000000000000000,29765.3200000000000000000000000000,29708.0500000000000000000000000000,29709.9900000000000000000000000000,57.39393100,1707377.710000000000000000,1682877000000
1682877000000,29709.9900000000000000000000000000,29715.6300000000000000000000000000,29657.0400000000000000000000000000,29675.4600000000000000000000000000,54.25577100,1611250.280000000000000000,1682877300000
1682877300000,29675.4600000000000000000000000000,29689.8200000000000000000000000000,29644.3600000000000000000000000000,29644.3600000000000000000000000000,63.97853000,1898680.620000000000000000,1682877600000
1682877600000,29644.3600000000000000000000000000,29656.3800000000000000000000000000,29522.6900000000000000000000000000,29577.5800000000000000000000000000,74.61435500,2208097.960000000000000000,1682877900000
1682877900000,29577.5800000000000000000000000000,29628.5200000000000000000000000000,29566.2700000000000000000000000000,29582.9600000000000000000000000000,71.93099800,2128615.100000000000000000,1682878200000
1682878200000,29582.9600000000000000000000000000,29651.9500000000000000000000000000,29580.9400000000000000000000000000,29648.7500000000000000000000000000,96.37107000,2854075.700000000000000000,1682878500000
1682878500000,29648.7500000000000000000000000000,29669.6600000000000000000000000000,29634.3200000000000000000000000000,29668.1700000000000000000000000000,68.35852200,2026990.540000000000000000,1682878800000
1682878800000,29668.1700000000000000000000000000,29671.6900000000000000000000000000,29625.0200000000000000000000000000,29628.5000000000000000000000000000,69.17476700,2051440.690000000000000000,1682879100000
1682879100000,29628.5000000000000000000000000000,29658.1600000000000000000000000000,29611.1800000000000000000000000000,29645.4100000000000000000000000000,41.42709500,1227469.530000000000000000,1682879400000
1682879400000,29645.4100000000000000000000000000,29645.5100000000000000000000000000,29589.9500000000000000000000000000,29607.9800000000000000000000000000,62.74987400,1859133.320000000000000000,1682879700000
1682879700000,29607.9800000000000000000000000000,29608.9900000000000000000000000000,29596.4800000000000000000000000000,29601.9800000000000000000000000000,49.78790500,1473852.660000000000000000,1682880000000
1682880000000,29601.9800000000000000000000000000,29617.2200000000000000000000000000,29601.9800000000000000000000000000,29617.0800000000000000000000000000,53.55816300,1585898.500000000000000000,1682880300000
1682880300000,29617.0800000000000000000000000000,29617.0800000000000000000000000000,29556.3300000000000000000000000000,29597.4300000000000000000000000000,82.01343800,2426684.980000000000000000,1682880600000
1682880600000,29597.4300000000000000000000000000,29632.1700000000000000000000000000,29597.1800000000000000000000000000,29606.7900000000000000000000000000,45.16047600,1337549.730000000000000000,1682880900000
1682880900000,29606.7900000000000000000000000000,29606.7900000000000000000000000000,29572.4600000000000000000000000000,29577.0900000000000000000000000000,55.88134900,1654071.930000000000000000,1682881200000
1682881200000,29577.0900000000000000000000000000,29594.3600000000000000000000000000,29561.4300000000000000000000000000,29593.7800000000000000000000000000,50.05192000,1480497.500000000000000000,1682881500000
1682881500000,29593.7800000000000000000000000000,29593.7900000000000000000000000000,29360.5900000000000000000000000000,29392.8000000000000000000000000000,39.36612400,1161505.140000000000000000,1682881800000
1682881800000,29392.8000000000000000000000000000,29439.4700000000000000000000000000,29363.3600000000000000000000000000,29378.9500000000000000000000000000,64.44097300,1894265.430000000000000000,1682882100000
1682882100000,29378.9500000000000000000000000000,29414.3700000000000000000000000000,29226.0800000000000000000000000000,29253.1700000000000000000000000000,70.42642400,2067091.320000000000000000,1682882400000
1682882400000,29253.1700000000000000000000000000,29319.9900000000000000000000000000,29238.2600000000000000000000000000,29307.0400000000000000000000000000,66.92216400,1959497.390000000000000000,1682882700000
1682882700000,29307.0400000000000000000000000000,29359.9000000000000000000000000000,29305.2600000000000000000000000000,29349.3900000000000000000000000000,68.20829200,2000989.120000000000000000,1682883000000
1682883000000,29349.3900000000000000000000000000,29372.7400000000000000000000000000,29315.8400000000000000000000000000,29344.0800000000000000000000000000,52.02792500,1526663.630000000000000000,1682883300000
1682883300000,29344.0800000000000000000000000000,29344.0800000000000000000000000000,29299.4100000000000000000000000000,29332.7600000000000000000000000000,29.21128200,856678.540000000000000000,1682883600000
1682883600000,29332.7600000000000000000000000000,29386.1300000000000000000000000000,29332.7500000000000000000000000000,29367.2800000000000000000000000000,45.64887100,1340260.470000000000000000,1682883900000
1682883900000,29367.2800000000000000000000000000,29383.5800000000000000000000000000,29325.3000000000000000000000000000,29381.3800000000000000000000000000,43.70846100,1283359.860000000000000000,1682884200000
1682884200000,29381.3800000000000000000000000000,29384.4100000000000000000000000000,29350.3700000000000000000000000000,29384.4100000000000000000000000000,63.41166500,1862051.850000000000000000,1682884500000
1682884500000,29384.4100000000000000000000000000,29384.4100000000000000000000000000,29312.8700000000000000000000000000,29361.1200000000000000000000000000,42.35117300,1243211.200000000000000000,1682884800000
1682884800000,29361.1200000000000000000000000000,29361.1200000000000000000000000000,29177.6700000000000000000000000000,29225.6600000000000000000000000000,60.54350500,1772909.770000000000000000,1682885100000
1682885100000,29225.6600000000000000000000000000,29281.3100000000000000000000000000,29173.6900000000000000000000000000,29258.3200000000000000000000000000,66.33892000,1939984.670000000000000000,1682885400000
1682885400000,29258.3200000000000000000000000000,29258.3300000000000000000000000000,29168.0100000000000000000000000000,29205.5200000000000000000000000000,55.52658300,1621935.550000000000000000,1682885700000
1682885700000,29205.5200000000000000000000000000,29288.3200000000000000000000000000,29165.6700000000000000000000000000,29284.0800000000000000000000000000,64.75103600,1892402.930000000000000000,1682886000000
